District Name;District ID;PO Group;Purchase Order Number;PO Start Date;PO Expiry Date;License Type;Total License Count;Redeemed Count;Product Titles;Number of Users Assigned
Township High School District 214;60066;Active PO;KS04355000002106606_WHS_Reporteros1_2_3;2023-08-18;2026-08-17;User;2307;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";294
Township High School District 214;60066;Active PO;KS04355000002106606_WHS_Reportersfrancophones_1_2;2023-08-18;2026-08-17;User;30;2;"Reporters francophones 1; Reporters francophones 2";11
Township High School District 214;60066;Active PO;KSO4355000002107059_EGHS_Reportersfrancophones1;2023-09-13;2026-09-12;User;30;2;Reporters francophones 1;12
Township High School District 214;60066;Active PO;PO24500036_KSO4355000002106596_BGHS_Reporteros4;2024-06-23;2026-08-17;User;5113;2;Reporteros 4;19
Township High School District 214;60066;Active PO;PO24500037_KSO4355000002106598_JHHS_Reporteros4;2024-06-23;2026-08-17;User;7155;2;Reporteros 4;19
Township High School District 214;60066;Active PO;PO24500038_KSO4355000002106599_EGHS_Reporteros4;2024-06-23;2026-08-17;User;2939;2;Reporteros 4;17
Township High School District 214;60066;Active PO;PO24500039_KSO4355000002106601_PHS_Reporteros4;2024-06-23;2026-08-17;User;6457;2;Reporteros 4;19
Township High School District 214;60066;Active PO;PO24500040_KSO4355000002106603_RMHS_Reporteros4;2024-06-23;2026-08-17;User;4586;2;Reporteros 4;47
Township High School District 214;60066;Active PO;PO24500041_KSO4355000002106605_WHS_Reporteros4;2024-06-23;2026-08-17;User;2307;2;Reporteros 4;16
Township High School District 214;60066;Active PO;Davvero1-2_PO#24500042_24500043_24500044_24500045;;2025-09-11;User;;;;0
Township High School District 214;60066;Active PO;Township214_ReportersFrancophones_Combined2024;2024-08-09;2025-09-13;User;1031;7;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";500
Township High School District 214;60066;Expired PO;Demo_Township214_ReportersFrancophones2;2023-11-07;2024-05-24;User;16;2;"Reporters francophones 1; Reporters francophones 2";10
Township High School District 214;60066;Expired PO;StudentTeacher_Orellana;2023-12-14;2025-01-16;User;20;2;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporters francophones 1; Reporters francophones 2";13
Township High School District 214;60066;Expired PO;TOWNSHIPHSD214_DEMO;2023-02-27;2023-08-27;User;5;1;"Reporteros 1; Reporteros 2 ; Reporteros 3";3
Long Beach Unified School District;61088;Active PO;KSO4355000002106541 Reporteros 1 and 2;2023-08-24;2032-06-26;User;12170;12;"Reporteros 1; Reporteros 1A; Reporteros 1B; Reporteros 2";215
Long Beach Unified School District;61088;Active PO;KSO4355000002106541_Readers;2023-09-26;2032-06-26;User;1350;6;"001-056_nov_kwl_24h_bogota.indd; 24 horas en Barcelona; 24 horas en Buenos Aires; Me despierto y bailo; Un gol fantástico";16
Long Beach Unified School District;61088;Active PO;KSO4355000002106739_Klasse;2024-07-31;2032-06-26;User;5000;2;"Klasse! A1; Klasse! A1 - The KWL Hub Textbook for Students ; Klasse! A1 - The KWL Hub Workbook for Students ; Klasse! A2; Klasse! A2 - The KWL Hub Textbook for Students ; Klasse! A2 - The KWL Hub Workbook for Students ; Klasse! B1; Klasse! B1 - The KWL Hub Textbook for Students ; Klasse! B1 - The KWL Hub Workbook for Students";5
Washington County School District;60879;Active PO;230419-0119-AK;2023-08-21;2026-08-20;User;5000;18;"001-056_nov_kwl_24h_bogota.indd; 24 horas en Barcelona; Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";500
Ritenour School District;70841;Active PO;PO106522_Ritenour_ReportersFrancophones_1-2;2024-08-23;2025-09-26;User;166;2;"Reporters francophones 1; Reporters francophones 2";53
Ritenour School District;70841;Active PO;PO106522_Ritenour_Reporteros1-4;2024-08-23;2025-09-26;User;485;2;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";263
Oxford Public Schools;71958;Active PO;SO-43168OxfordPublicSchools_Pilot_ReporterosSeries;2024-09-12;2025-07-13;User;503;1;"Reporteros 1; Reporteros 1A";5
Bellflower Unified School District;69250;Active PO;Bellflower_Pilot_Reporteros1-4;2024-08-07;2025-06-06;User;1225;3;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";500
Bellflower Unified School District;69250;Active PO;Bellflower_Pilot_24horas_readers;2024-09-16;2025-06-06;User;510;3;"24 horas en Barcelona; 24 horas en Bogotá; 24 horas en Buenos Aires; 24 horas en Ciudad de México";288
Bellflower Unified School District;69250;Active PO;Bellflower_Pilot_Reporteros_readers;2024-09-16;2025-06-06;User;1225;3;"En busca de la verdad; Me despierto y bailo; Mi año de intercambio; Todo para todos; Un gol fantástico";9
Bellflower Unified School District;69250;Expired PO;Bellflower_Pilot_24heures_readers;2024-09-16;2025-01-11;User;500;3;"24 heures à Bruxelles; 24 heures à la Réunion; 24 heures à Montréal; 24 heures à Paris; 24 heures en Bretagne; 24 heures en Provence";132
Bellflower Unified School District;69250;Expired PO;Bellflower_Pilot_Mapas2-3;2024-08-07;2025-01-11;User;510;3;"Mapas 2; Mapas 3";227
Bellflower Unified School District;69250;Expired PO;Bellflower_Pilot_Reportersfrancophones1-3;2024-08-07;2025-01-11;User;500;3;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";305
Murrieta Valley Unified School District SFTP;71823;Active PO;MurrietaValleyUSD_SFTP_Reporteros_all;2024-09-09;2032-07-30;User;26305;7;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";500
Murrieta Valley Unified School District SFTP;71823;Active PO;MurrietaValleyUSD_SFTP_Readers_all;2024-09-26;2025-08-01;User;3665;5;"Me despierto y bailo; Todo para todos; Un gol fantástico";161
Southern Berkshire Regional School District;74274;Active PO;DEMO_Southern_Berkshire_Regional_Comp_Student_;2024-12-17;2026-01-20;User;5;2;"Reporteros 1: The KWL Hub eBook; Reporteros 2: The KWL Hub eBook; Reporteros 3: The KWL Hub eBook; Reporters francophones 1: The KWL Hub eBook; Reporters francophones 2: The KWL Hub eBook; Reporters francophones 3: The KWL Hub eBook";4
Grand Forks School District 1;61273;Active PO;GrandForksPilot;2023-08-31;2026-08-30;User;150;3;"Reporters francophones 1; Reporters francophones 2";105
deleted_do_not_use_Oxford Community School District;67191;Expired PO;SO-28089_OxfordSchoolsMI_MiddleSchool_Reporteros1;2024-06-11;2025-02-02;User;779;1;Reporteros 1;0
deleted_do_not_use_Oxford Community School District;67191;Expired PO;SO-28089_OxfordSchoolsMI_MiddleSchool_Reporteros2;2024-06-11;2025-02-02;User;170;1;Reporteros 2;0
deleted_do_not_use_Oxford Community School District;67191;Expired PO;SO-28090_OxfordSchoolsMI_HighSchool_Reporteros1;2024-06-11;2025-02-02;User;32;1;Reporteros 1;0
deleted_do_not_use_Oxford Community School District;67191;Expired PO;SO-28090_OxfordSchoolsMI_HighSchool_Reporteros2;2024-06-11;2025-02-02;User;245;1;Reporteros 2;0
deleted_do_not_use_Oxford Community School District;67191;Expired PO;SO-28090_OxfordSchoolsMI_HighSchool_Reporteros3;2024-06-11;2025-02-02;User;234;1;Reporteros 3;0
deleted_do_not_use_Oxford Community School District;67191;Expired PO;SO-28090_OxfordSchoolsMI_HighSchool_Reporteros4;2024-06-17;2025-02-02;User;121;1;Reporteros 4;0
Mount Vernon School District 320;70728;Active PO;MountVernon_Pilot_Reporteros1-4;2024-08-19;2025-09-22;User;1000;1;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";0
Mount Vernon School District 320;70728;Active PO;MountVernon_Pilot_Reporteros1-4_additional_08-28;2024-09-03;2025-07-04;User;75;1;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";0
Bellevue School District;59861;Expired PO;Bellevue-Pilot-ReportersFrancophones;2023-11-30;2025-01-02;User;1170;8;"Reporters francophones 1; Reporters francophones 2";147
20311-Sacramento City Unified School District;61480;Expired PO;Pilot Agreement 11-14-23 Digital PDN;2023-11-16;2024-09-06;User;225;2;"Portfolio Deutsch Neu, Level 1 - Teacher's Manual; Portfolio Deutsch Neu, Level 1 - Textbook; Portfolio Deutsch Neu, Level 1 - Workbook; Portfolio Deutsch Neu, Level 2 - Teacher’s Manual; Portfolio Deutsch Neu, Level 2 - Textbook; Portfolio Deutsch Neu, Level 2 - Workbook; Portfolio Deutsch Neu, Level 3/4 - Teacher's Manual; Portfolio Deutsch Neu, Level 3/4 - Textbook; Portfolio Deutsch Neu, Level 3/4 - Workbook";0
20311-Sacramento City Unified School District;61480;Expired PO;Pilot Agreement 8-28-23 Digital Reporteros all;2023-09-08;2024-09-06;User;4000;12;"Reporteros 1; Reporteros 2 ; Reporteros 3";0
#DEMO Klett Learning Platform (Dev) Sandbox;55204;Active PO;My_School_License;2024-06-17;2025-11-29;User;309;3;"24 heures à Paris; Mapas 1; Mapas 2; Mapas 3; Mapas 4; Reporteros 1; Reporteros 2 ; Reporteros 3; Reporters francophones 1; Reporters francophones 2";17
#DEMO Klett Learning Platform (Dev) Sandbox;55204;Expired PO;CleverDistrictPO;;2024-07-05;User;;;;0
#DEMO Klett Learning Platform (Dev) Sandbox;55204;Expired PO;Demo Clever PO;2023-03-07;2023-09-28;User;1000;1;"Mapas 1 Enriched eText Student Edition; Mapas 1 Enriched eText Teacher Edition; Mapas 2 Enriched eText Student Edition; Mapas 2 eText Teacher Edition; Mapas 3 Enriched eText Student Edition; Mapas 3 eText Teacher Edition; Mapas 4 Enriched eText Student Edition; Mapas 4 eText Teacher Edition; Portfolio Deutsch Neu, Level 1 Enriched eText Student Edition; Portfolio Deutsch Neu, Level 1 Enriched eText Teacher Edition; Portfolio Deutsch Neu, Level 2 Enriched eText Student Edition; Portfolio Deutsch Neu, Level 2 Enriched eText Teacher Edition; Portfolio Deutsch Neu, Level 3/4 - Grammar Summary; Portfolio Deutsch Neu, Level 3/4 Enriched eText Student Edition; Portfolio Deutsch Neu, Level 3/4 Enriched eText Teacher Edition; Reporteros 1 eText Student Edition; Reporteros 1 eText Teacher Edition - 2023; Reporteros 1 eText Workbook; Reporteros 2 Enriched eText Workbook; Reporteros 2 eText Student Edition; Reporteros 2 eText Teacher Edition; Reporteros 3 eText Student Edition; Reporteros 3 eText Teacher Edition; Reporteros 3 eText Workbook; Reporters francophones 1 Enriched eText Student Edition sample unit; Reporters francophones 1 Enriched eText Workbook sample unit; Reporters francophones 1 eText Student Edition; Reporters francophones 1 eText Teacher Edition sample unit; Reporters francophones 1 eText Teacher Edition TO BE DELETED; Reporters francophones 1 eText Workbook; Reporters francophones 2 eText Student Edition; Reporters francophones 2 eText Teacher Edition TO BE DELETED; Reporters francophones 2 eText Workbook";2
KWL School District;69112;Expired PO;DEMO_TutorialVideos_InternalCW;2024-08-01;2024-11-08;User;50;2;"Reporters francophones 3; Mapas 1; Mapas 2; Mapas 3; Mapas 4; Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4; Reporters francophones 1; Reporters francophones 2";2
Thompson School District R2-J;61440;Active PO;THOMPSONSCHOOLDISTRICT_Mapas3;2023-09-21;2025-06-06;User;400;3;Mapas 3;53
Thompson School District R2-J;61440;Expired PO;THOMPSONSCHOOLDISTRICT_PILOT_Reporteros;2023-09-21;2024-06-13;User;3880;10;"Reporteros 1; Reporteros 2";500
Thompson School District R2-J;61440;Expired PO;THOMPSONSCHOOLDISTRICT_PILOT_Reportersfrancophones;2023-09-21;2024-06-13;User;1000;5;"Reporters francophones 1; Reporters francophones 2";381
Prince William County Public Schools;67897;Active PO;Demo_PWCS_2;2024-07-11;2025-08-14;User;50;1;"Reporteros 1; Reporteros 2 ; Reporteros 3";1
Prince William County Public Schools;67897;Expired PO;Prince William County Public Schools (VA) (DEMO);2024-02-12;2024-08-29;User;3;1;"Mapas 1; Mapas 2; Mapas 3; Mapas 4; Reporteros 1; Reporteros 1A; Reporteros 1B; Reporteros 2 ; Reporteros 3";2
Placentia Yorba Linda USD;61674;Expired PO;PO88822_Reporteros1_2_3;2023-09-20;2024-06-14;User;4565;10;"Mapas 4; Reporteros 1; Reporteros 2 ; Reporteros 3";500
Auburn School District 408;65517;Expired PO;AUBURN_SCHOOL_DISTRICT_(WA)_PILOT_REPORTEROS1-3;2024-03-27;2024-06-14;User;1300;4;"Reporteros 1; Reporteros 2 ; Reporteros 3";500
ClassLink Test District;54846;Active PO;ClasslinkPO;2023-03-07;2025-09-25;User;1000;5;"Mapas 1 Enriched eText Student Edition; Mapas 1 Enriched eText Teacher Edition; Mapas 2 Enriched eText Student Edition; Mapas 2 eText Teacher Edition; Mapas 3 Enriched eText Student Edition; Mapas 3 eText Teacher Edition; Mapas 4 Enriched eText Student Edition; Mapas 4 eText Teacher Edition; Reporteros 1; Reporteros 1 eText Student Edition; Reporteros 1 eText Teacher Edition - 2023; Reporteros 1 eText Workbook; Reporteros 2 ; Reporteros 2 Enriched eText Workbook; Reporteros 2 eText Student Edition; Reporteros 2 eText Teacher Edition; Reporteros 3; Reporters francophones 1 Enriched eText Student Edition sample unit; Reporters francophones 1 Enriched eText Workbook sample unit; Reporters francophones 1 eText Teacher Edition sample unit";24
ClassLink Test District;54846;Expired PO;INTERNAL_ClasslinkTestDistrict_Reporteros1-4;2025-02-26;2025-02-26;User;25;2;"Reporteros 1; Reporteros 2 ; Reporteros 3; Reporteros 4";14
Gwinnett County School District;58881;Expired PO;Gwinnette_Pilot_Reporteros1_2_3;2023-10-08;2024-11-10;User;5000;11;"Reporteros 1; Reporteros 2 ; Reporteros 3";500
CLASSLINK DEPRECATED DO NOT USE St. Charles Community Unit School District 303;65637;Expired PO;StCharlesCUSD_Pilot_Reporteros;2024-04-10;2024-06-07;User;1050;1;"Reporteros 1; Reporteros 2";1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Mapas1;2023-07-28;2024-07-31;User;60;1;Mapas 1;1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Mapas1teacher;2023-07-28;2024-07-31;User;20;1;Mapas 1;1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Mapas2;2023-07-28;2024-07-31;User;70;1;Mapas 2;1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Mapas2teacher;2023-07-28;2024-07-31;User;30;1;Mapas 2;1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Mapas3;2023-07-28;2024-07-31;User;60;1;Mapas 3;1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Mapas3teacher;2023-07-28;2024-07-31;User;25;1;Mapas 3;1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Mapas4;2023-07-28;2024-07-31;User;60;1;Mapas 4;1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Mapas4teacher;2023-07-28;2024-07-31;User;25;1;Mapas 4;1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_PortfolioDeutschNeu1_12MO_Student;2023-08-08;2024-07-31;User;100;1;"Portfolio Deutsch Neu, Level 1 - Teacher's Manual; Portfolio Deutsch Neu, Level 1 - Textbook; Portfolio Deutsch Neu, Level 1 - Workbook; Portfolio Deutsch Neu, Level 2 - Teacher’s Manual; Portfolio Deutsch Neu, Level 2 - Textbook; Portfolio Deutsch Neu, Level 2 - Workbook; Portfolio Deutsch Neu, Level 3/4 - Teacher's Manual; Portfolio Deutsch Neu, Level 3/4 - Textbook; Portfolio Deutsch Neu, Level 3/4 - Workbook";1
Palo Alto Unified School District;59884;Expired PO;Palo Alto Pilot_Reporteros1;2023-07-28;2024-07-31;User;880;1;Reporteros 1;1
Soledad Unified School District;63926;Expired PO;SoledadUSD_Pilot_Mapas3-4;2024-02-12;2025-01-03;User;250;2;"Mapas 3; Mapas 4";21
Soledad Unified School District;63926;Expired PO;SoledadUSD_Pilot_Reporteros-all;2024-02-12;2024-06-13;User;950;3;"24 horas en Barcelona; 24 horas en Bogotá; 24 horas en Buenos Aires; 24 horas en Ciudad de México; Me despierto y bailo; Reporteros 1; Reporteros 1A; Reporteros 2 ; Reporteros 3; Todo para todos; Un gol fantástico";201
Soledad Unified School District;63926;Expired PO;SoledadUSD_Pilot_Reportersfrancophones1-2;2024-02-12;2024-06-13;User;110;2;"Reporters francophones 1; Reporters francophones 2";19
Cupertino Union School District;59874;Expired PO;SO-85_Reporteros1;2023-08-17;2024-06-14;User;3740;6;Reporteros 1;500
Fremont Unified School District;62008;Expired PO;FremontUSDPilot_Reporteros;2023-09-29;2024-11-01;User;500;1;Reporteros 3;9
Fremont Unified School District;62008;Expired PO;FremontUSDPilot_Reportersfrancophones;2023-09-29;2024-11-01;User;600;6;"Reporters francophones 1; Reporters francophones 2";231
Fremont Unified School District;62008;Expired PO;PO24-01116 RF 2 Student and Teacher;2023-08-18;2024-09-20;User;18;1;Reporters francophones 2;9
Davis Joint Unified School District;65331;Expired PO;DavisJointUSD_Pilot_24horasreaders;2024-03-28;2024-04-30;User;215;4;"24 horas en Barcelona; 24 horas en Ciudad de México";81
Davis Joint Unified School District;65331;Expired PO;DavisJointUSD_Pilot_Reporteros1-3;2024-03-18;2024-04-30;User;1500;6;"Reporteros 1; Reporteros 2 ; Reporteros 3";433
Davis Joint Unified School District;65331;Expired PO;DavisJointUSD_Pilot_Reporterosfrancophones1-2;2024-03-18;2024-04-30;User;300;3;"Reporters francophones 1; Reporters francophones 2";14
San Dieguito Union High School District;59646;Expired PO;04500/0000023176_CarmelValleyMS_Reporteros1;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023176_CarmelValleyMS_Reporteros2;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023177_DiegunoMS_Reporteros1;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023177_DiegunoMS_Reporteros2;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023178_PacificTrailsMS_Reporteros1;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023178_PacificTrailsMS_Reporteros2;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023179_EarlWarrenMS_Reporteros1;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023179_EarlWarrenMS_Reporteros2;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023180_OakCrestMS_Reporteros1;2023-08-16;2024-09-18;User;;;;0
San Dieguito Union High School District;59646;Expired PO;04500/0000023180_OakCrestMS_Reporteros2;2023-08-16;2024-09-18;User;;;;0
Pgcps.org RFP District;63023;Expired PO;demolicense-123123;2023-11-30;2025-01-02;User;10;1;"Mapas 3; Mapas 4";1
Demo School District;62969;Expired PO;demo-windycityteacher-french;2023-12-01;2024-03-09;User;50;2;"Reporters francophones 1; Reporters francophones 2";4
Demo School District;62969;Expired PO;Demo5678910_Mapas;2023-11-30;2024-06-16;User;40;3;"Mapas 1; Mapas 2; Mapas 3; Mapas 4";7
King's Schools (WA);62263;Expired PO;PO 2022388_Mapas_Combined;2023-10-13;2024-11-15;User;25;2;"Mapas 2; Mapas 3; Mapas 4";14
Lausanne Collegiate School;59438;Expired PO;230526-0308-KKM Reporteros 1 Student;2023-08-08;2024-09-10;User;30;1;Reporteros 1;25
Lausanne Collegiate School;59438;Expired PO;230526-0308-KKM Reporters francophones 2 student;2023-08-08;2024-09-10;User;20;1;Reporters francophones 2;8
Lausanne Collegiate School;59438;Expired PO;PO 230526-0308-KKM Reporters francophones 1 studen;2023-08-08;2024-09-10;User;11;1;Reporters francophones 1;9
Platte County School District 1;59429;Expired PO;PO20233987_Reporteros1_students;2023-08-03;2024-09-05;User;129;1;Reporteros 1;37
Platte County School District 1;59429;Expired PO;PO20233987_Reporteros2_students;2023-08-03;2024-09-05;User;129;1;Reporteros 2;23
Platte County School District 1;59429;Expired PO;PO20233987_Reportersfrancophones1_students;2023-08-03;2024-09-05;User;129;1;Reporters francophones 1;28
Platte County School District 1;59429;Expired PO;PO20233987_Reportersfrancophones2_students;2023-08-03;2024-09-05;User;126;1;Reporters francophones 2;31
Walden School;58842;Expired PO;PO 3287_Reporteros 1_additional;2023-08-17;2024-09-19;User;15;1;Reporteros 1;15
Walden School;58842;Expired PO;PO2906_Reporteros1_students;2023-08-03;2024-09-05;User;42;1;Reporteros 1;34
DO NOT USE;58707;Expired PO;StCharlesCUSD_Pilot_Reporteros;2024-04-10;2024-06-07;User;1050;1;"Reporteros 1; Reporteros 2";1
SUSHI;56826;Expired PO;PO SUSHI;2023-03-22;2023-09-17;User;7;1;Reporters francophones 1;1
Sales Demo District;56232;Expired PO;SalesDemo123456;2023-03-07;2023-11-30;User;1000;4;"Mapas 1 Enriched eText Student Edition; Mapas 1 Enriched eText Teacher Edition; Mapas 2 Enriched eText Student Edition; Mapas 2 eText Teacher Edition; Mapas 3 Enriched eText Student Edition; Mapas 3 eText Teacher Edition; Mapas 4 Enriched eText Student Edition; Mapas 4 eText Teacher Edition; Portfolio Deutsch Neu, Level 1 Enriched eText Student Edition; Portfolio Deutsch Neu, Level 1 Enriched eText Teacher Edition; Portfolio Deutsch Neu, Level 2 Enriched eText Student Edition; Portfolio Deutsch Neu, Level 2 Enriched eText Teacher Edition; Portfolio Deutsch Neu, Level 3/4 Enriched eText Student Edition; Portfolio Deutsch Neu, Level 3/4 Enriched eText Teacher Edition; Reporteros 1 eText Student Edition; Reporteros 1 eText Teacher Edition - 2023; Reporteros 1 eText Workbook; Reporteros 2 Enriched eText Workbook; Reporteros 2 eText Student Edition; Reporteros 2 eText Teacher Edition; Reporteros 3 eText Student Edition; Reporteros 3 eText Teacher Edition; Reporteros 3 eText Workbook; Reporters francophones 1 Enriched eText Student Edition sample unit; Reporters francophones 1 Enriched eText Workbook sample unit; Reporters francophones 1 eText Student Edition; Reporters francophones 1 eText Teacher Edition sample unit; Reporters francophones 1 eText Teacher Edition TO BE DELETED; Reporters francophones 1 eText Workbook; Reporters francophones 2 eText Student Edition; Reporters francophones 2 eText Teacher Edition TO BE DELETED; Reporters francophones 2 eText Workbook";10